Room/Location,Automation / Name,Trigger,Conditions,Actions,Components / Devices,Purpose / Outcome,Notes / Ambiguities,Transcript Evidence (snippet),Timestamps,Brand (normalized),Icon,Fit: Alexa,Fit: Google,Fit: Home Assistant
Kid’s Room (Son),Customizable wall lights scenes,Manual scenes; bedtime/gaming presets,n/a,Colors/animations for bedtime or gaming,Govee Glide Hexa lights,Fun ambience,Mounted as letter,Glide hexa lights… nighttime… gaming,n/a,govee,lightbulb,Y,Y,P
Kid’s Room (Son),Automated shade schedule,Time (open morning / close night),n/a,Open morning; close night,IKEA Zigbee shade,Light routine,Model not specified,Ikea shade… automatically open… close,n/a,ikea,curtains,P,P,Y
Kid’s Room (Son),Nightstand lamp remote,Button press,n/a,Toggle/control lamp,Third Reality button; lamp,Accessible manual control,n/a,third reality button… control nightstand lamp,n/a,third reality,button,U,U,U
Kid’s Room (Daughter),Automated curtains schedule,Time (open morning / close night),n/a,Open morning; close night,SwitchBot curtain motors (latest) + SwitchBot Hub (Matter),Light/privacy routine; ecosystem reach,n/a,switchbot… automatically open… close… matter Hub,n/a,"matter, switchbot",lightbulb,Y,Y,Y
Kid’s Room (Daughter),Govee table lamp scenes,Manual scenes,n/a,Nightlight styles,Govee table lamp,Comfort/fun,n/a,govee table lamp… nightlights,n/a,govee,lightbulb,Y,Y,P
Kid’s Room (Daughter),Fandelier RF control via bridge,Voice/routines via RF bridge,n/a,Control retractable‑blade fan/light,Fandelier (RF remote) + Bond or Broadlink bridge,Integrate RF fan with voice/automation,Bridge phrased colloquially,fandelier… hooked up to a bond or broadlink bridge,n/a,bond/broadlink,fan,U,U,U
Entry / Whole‑home mesh,Zigbee + Z‑Wave mesh design,n/a,n/a,One Zigbee + one Z‑Wave device per room; matched dimmers look,Jasco/Enbrighten Zigbee dimmer; Jasco Z‑Wave Pro; Zooz Z‑Wave dimmer,Robust mesh; consistent aesthetics,SKUs not listed,one z‑wave and one zigbee device in every room… blue LEDs match,n/a,"jasco/enbrighten, zooz",lightbulb,P,P,Y
Entry,Dog bell notification,Vibration sensor detects bell ring,n/a,Notify phones/watches; whole‑home announcement,Vibration sensor on dog bell,Timely potty alerts,Bell training noted,vibration sensor on his Bell… voice announcement,n/a,generic/unspecified,thermometer,U,U,U
Garage,Amazon Key in‑garage delivery,Delivery event via Amazon Key,Compatible opener,Allow packages in garage,MyQ smart garage opener,Package security,Brand not preferred but works,MyQ… allows Amazon key,n/a,myq,garage,Y,P,P
Garage,Smart mousetrap alert,Mouse completes circuit,n/a,Zap mouse; Z‑Wave notification,Dome Z‑Wave Mouser,Pest control + status,“most metal” device,zaps the mouse and notifies hub,n/a,dome,mouse,U,U,U
Office,Voice‑enabled wall dimmer,Built‑in Alexa,n/a,Control lights; assistant in switch,Leviton Voice Dimmer (Alexa) + Zigbee dimmer,Integrated voice in wall control,Model not given,leviton voice dimmer… Alexa built in,n/a,"alexa/echo, leviton",lightbulb,Y,U,U
Office,Appliance safety off when away,House set to Away,n/a,Turn off scent warmer via smart plug,Smart plug (scent warmer),Fire safety,Device name unclear,automatically turns off when away,n/a,generic/unspecified,outlet,U,U,U
Office,Dog crate monitoring,Wyze barking alerts,n/a,Notify if dog barking,Wyze camera,Pet welfare monitoring,n/a,barking alerts… when away,n/a,wyze,camera,Y,Y,P
Office,Adaptive shade based on sunlight (lux),Lux high in morning,Time: morning,Drop shade halfway to reduce glare,Third Reality Zigbee smart blinds; motion sensor with lux,Reduce glare while working,Sensor model not named,gets super bright… drops shade halfway,n/a,third reality,curtains,U,U,U
Office / Whole‑home,Nightly robot vacuum run,Schedule (night),n/a,Vacuum/mop runs nightly; drops mops on dock for carpets,Dreame L20 Ultra robot vacuum/mop,Daily cleaning,Headlight aids night detection,run every night… headlight… object detection at night,n/a,dreame,robot,Y,Y,P
Whole‑home platform,Home Assistant Yellow primary hub,n/a,Migrated from SmartThings,Run devices via Home Assistant; still dabble with ST,Home Assistant Yellow; SmartThings,Flexibility/power,Setup time sink noted,most devices moved to Home Assistant Yellow,n/a,"home assistant, smartthings",hub,P,U,Y
